annoy	[ə'nɔɪ]	dosađivati, ometati
annoyance	[ə'nɔɪəns]	dosađivanje, neprilika
annual	['ænjuəl]	godisnji
annul	[ə'nʌl]	poništiti
annunciate	[ənʌnsi:eɪt]	najaviti
anomaly	[ə'nɔməli]	nepravilnost, anomalija
anonymous	[ə'nɔnɪməs]	neimenovan, anoniman
another	[ə'nʌðə(r)]	drugi
answer	['ɑ:nsə(r)]	odgovor
ant	[ænt]	mrav
antagonist	[æn'tægənɪst]	protivnik
antagonistic	[æntægə'nɪstɪk]	protivnički, suprotan
antagonize	[æn'tægənaɪz]	protiviti se, suprotstaviti se
antenna	[æn'tənə]	pipalo, ticalo (kod insekata)
antelope	['æntɪləup]	antilopa
anthem	['ænθəm]	himna
anthill	[ænthɪl]	mravinjak
anthology	[æn'θɔlədʒi]	antologija, zbirka
antibiotic	['æntɪbaɪ'ɔtɪk]	antibiotik
antipathy	[æn'tɪpəθi]	odbojnost, antipatija
antique	[æn'ti:k]	starinski, antika
antler	[æntlə(r)]	rog jelena
antonym	[æntənɪm]	reč suprotnog značenja
anvil	['ænvɪl]	nakovanj
anxiety	[æŋ'zaɪəti]	zabrinutost, nemir
anxious	['æŋkʃəs]	zabrinut
any	['əni]	ijedan, iko
anybody	['ənɪbɔdi]	iko
anyhow	['ənɪhau]	ikako
anyone	['ənɪwʌn]	iko
anything	['ənɪθɪŋ]	išta
anyway	['ənɪweɪ]	u svakom slučaju
anywhere	['ənɪwɛə(r)]	igde
apart	[ə'pɑ:t]	odvojeno, posebno
apartment	[ə'pɑ:tmənt]	nameštena soba, stan
apathy	['æpəθi]	otupelost, ravnodušnost
ape	[eɪp]	majmun (čovekoliki)
aperture	['æpətʃjuə(r)]	pukotina, otvor
apex	['eɪpəks]	vrh, vrhunac
apiary	[eɪpi:eri:]	pčelinjak
apiece	[ə'pi:s]	po komadu, svaki
 


apocalypse	[ə'pɔkəlɪps]	apokalipsa, propast
apocalyptic	[əpɑ:kəlɪptɪk]	apokaliptičan
apologetic	[əpɔlə'dʒətɪk]	koji se opravdava, pomirljiv, pokajnički
apologize	[ə'pɔlədʒaɪz]	izvinjavati se
apology	[ə'pɔlədʒi]	izvinjenje, isprika
apostle	[ə'pɔsl]	apostol
appal	[ə'pɔ:l]	zaprepastiti, zaplasiti
appalling	[ə'pɔ:lɪŋ]	užasan, strašan
apparel	[ə'pærl]	odeća, odelo
apparent	[ə'pærənt]	očigledan, jasan
appeal	[ə'pi:l]	apel, molba
appear	[ə'pɪə(r)]	pojaviti se, izaći
appearance	[ə'pɪərəns]	pojava, nastup
appease	[ə'pi:z]	umiriti, ublažiti
appendix	[ə'pəndɪks]	dodatak
appetite	['æpɪtaɪt]	sklonost, želja, apetit
